CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Num_Trans_12Months,Num_Trans_6Months,Num_Trans_3Months,IsActiveMember
15634602,619,France,Female,42,2,0,1,1,101348.88,232,143,108,1
15647311,608,Spain,Female,41,1,83807.86,1,0,112542.58,235,88,25,1
15619304,502,France,Female,42,8,159660.8,3,1,113931.57,208,102,30,0
15701354,699,France,Female,39,1,0,2,0,93826.63,163,92,27,0
15737888,850,Spain,Female,43,2,125510.82,1,1,79084.1,218,162,71,1
15574012,645,Spain,Male,44,8,113755.78,2,1,149756.71,197,70,14,0
15592531,822,France,Male,50,7,0,2,1,10062.8,205,99,10,1
15656148,376,Germany,Female,29,4,115046.74,4,1,119346.88,140,79,1,0
15792365,501,France,Male,44,4,142051.07,2,0,74940.5,248,159,146,1
15592389,684,France,Male,27,2,134603.88,1,1,71725.73,290,176,61,1
15767821,528,France,Male,31,6,102016.72,2,0,80181.12,124,109,13,0
15737173,497,Spain,Male,24,3,0,2,1,76390.01,147,107,24,0
15632264,476,France,Female,34,10,0,2,1,26260.98,156,61,8,0
15691483,549,France,Female,25,5,0,2,0,190857.79,131,102,30,0
15600882,635,Spain,Female,35,7,0,2,1,65951.65,263,173,54,1
15643966,616,Germany,Male,45,3,143129.41,2,0,64327.26,269,151,137,1
15737452,653,Germany,Male,58,1,132602.88,1,1,5097.67,218,120,28,0
15788218,549,Spain,Female,24,9,0,2,1,14406.41,212,142,113,1
15661507,587,Spain,Male,45,6,0,1,0,158684.81,122,115,22,0
15568982,726,France,Female,24,6,0,2,1,54724.03,227,162,148,1
15577657,732,France,Male,41,8,0,2,1,170886.17,245,135,95,1
15597945,636,Spain,Female,32,8,0,2,1,138555.46,120,86,7,0
15699309,510,Spain,Female,38,4,0,1,1,118913.53,137,65,2,0
15725737,669,France,Male,46,3,0,2,0,8487.75,254,175,33,1
15625047,846,France,Female,38,5,0,1,1,187616.16,208,159,142,1
15738191,577,France,Male,25,3,0,2,0,124508.29,214,183,50,1
15736816,756,Germany,Male,36,2,136815.64,1,1,170041.95,291,139,90,1
15700772,571,France,Male,44,9,0,2,0,38433.35,173,78,13,0
15728693,574,Germany,Female,43,3,141349.43,1,1,100187.43,219,192,8,1
15656300,411,France,Male,29,0,59697.17,2,1,53483.21,282,133,87,1
15589475,591,Spain,Female,39,3,0,3,1,140469.38,135,66,12,0
15706552,533,France,Male,36,7,85311.7,1,0,156731.91,238,194,154,1
