Cust_id,Qtr1_Bal,Qtr2_Bal,Qtr3_Bal,Qtr4_Bal,Perc_inc_q4_q1,Wallet_trx,Age,Gender,Area
C10803,47,36,,50000,26.7,22334,57,Female,East
C10020,34,10,,40000,0.8,24699,52,Female,South
C6176,11,9,,30000,5.3,57263,51,Female,North
C8563,10,15,,9000,3.7,18888,48,Male,West
C10031,41,42,23,4000,1.8,2042,53,Female,East
C10201,2,31,39,73,4.1,753,,Female,North
C11061,3,16,17,69,9,470,,Female,West
C1231,9,15,18,88,8.8,193,,Male,West
C1513,14,31,28,57,3.1,76,,Female,West
C1627,22,38,23,91,3.1,79,,Female,West
C2168,16,35,15,88,4.5,107,,Female,West
C2449,25,11,20,71,1.8,52,,Female,West
C2727,3,13,14,83,26.7,568,,Female,West
C3019,40,19,16,70,0.8,28,,Male,South
C3333,10,34,37,63,5.3,122,,Female,West
C3452,20,11,28,93,3.7,89,,Female,East
C3913,21,12,16,58,1.8,48,,Male,North
C4176,13,31,23,66,4.1,97,,Female,
C5432,7,8,30,70,9,197,,Male,North
C5529,17,13,14,72,3.2,80,,Female,West
C5996,5,22,,82,15.4,333,,Female,East
C6321,15,13,,62,3.1,78,,Female,West
C6734,34,16,20,85,1.5,45,,Female,South
C6937,37,20,25,58,1062.8,26,,Female,East
C6987,3,14,16,78,1175.5,531,,Male,North
C7336,42,11,32,55,2726.3,19,,Male,North
C7383,17,9,23,88,899,98,,Male,East
C8502,16,32,15,74,96.6,88,,Female,North
C8538,31,15,30,95,35.5,55,,Male,South
C8611,19,40,13,55,22,52,,Female,North
C9454,50,23,11,93,8.8,33,,Female,West
C9562,2,32,27,74,36,764,,Female,West
C9888,31,41,28,91,1.9,52,,Male,North
C10023,14,38,27,58,3.1,78,,Female,West
C10169,17,11,13,73,3.3,79,,Male,West
C10180,5,13,38,94,17.8,383,,Female,South
C10211,16,30,28,76,3.8,89,,Male,North
C1023,14,41,19,88,5.3,123,,Female,East
C10281,38,18,36,61,0.6,25,,Male,South
C10537,1,11,32,83,82,1728,,Female,North
C10578,19,26,18,75,2.9,72,,Male,North
C10588,3,25,28,89,28.7,610,,Female,East
C1076,41,18,20,84,1,36,,Female,North
