Product,Sub-product,State,Rev_Million
Consumer Loan,Vehicle loan,VA,76
Bank account or service,Checking account,CA,35
Bank account or service,Checking account,NY,42
Bank account or service,Checking account,GA,21
Mortgage,Conventional fixed mortgage,CT,16
Bank account or service,Checking account,TX,32
Debt collection,"Other (i.e. phone, health club, etc.)",VA,30
Debt collection,I do not know,FL,32
Credit card,,OH,79
Mortgage,Other mortgage,NV,42
Mortgage,Other mortgage,NC,43
Mortgage,Other mortgage,CA,12
Debt collection,Credit card,PA,23
Mortgage,Conventional fixed mortgage,NY,39
Mortgage,Conventional fixed mortgage,FL,23
Mortgage,Conventional fixed mortgage,NJ,16
Credit card,,WA,67
Credit reporting,,CA,44
Mortgage,Conventional adjustable mortgage (ARM),HI,35
Mortgage,Other mortgage,FL,12
Mortgage,Other mortgage,NY,21
Mortgage,Conventional adjustable mortgage (ARM),IL,18
Bank account or service,Other bank product/service,CA,11
Student loan,Non-federal student loan,OH,37
Debt collection,"Other (i.e. phone, health club, etc.)",FL,23
Mortgage,Conventional adjustable mortgage (ARM),FL,14
Consumer Loan,Vehicle loan,CA,70
Mortgage,Other mortgage,MI,21
Bank account or service,Checking account,NJ,31
Credit card,,TX,73
Mortgage,FHA mortgage,GA,39
Bank account or service,(CD) Certificate of deposit,TX,16
Mortgage,Conventional adjustable mortgage (ARM),MA,17
Student loan,Non-federal student loan,FL,25
Debt collection,I do not know,KY,38
Mortgage,Conventional fixed mortgage,TN,20
Credit reporting,,MO,12
Mortgage,Conventional fixed mortgage,MN,42
Credit card,,FL,77
Bank account or service,Checking account,TN,44
Student loan,Non-federal student loan,MA,38
Mortgage,Conventional fixed mortgage,CA,10
Credit card,,WI,82
Debt collection,Credit card,WY,19
Mortgage,Conventional fixed mortgage,TX,42
Mortgage,Conventional fixed mortgage,VA,22
Bank account or service,Other bank product/service,NY,42
Credit reporting,,CT,22
Bank account or service,Checking account,CT,19
Mortgage,Home equity loan or line of credit,VT,15
Consumer Loan,Vehicle lease,MI,60
Consumer Loan,Vehicle lease,NY,61
Credit card,,NV,67
Mortgage,Conventional adjustable mortgage (ARM),CA,10
Credit reporting,,CO,41
Bank account or service,Checking account,FL,14
Bank account or service,Savings account,NY,33
Mortgage,Home equity loan or line of credit,AZ,44
Credit reporting,,MA,44
Credit card,,DE,54
Mortgage,Conventional adjustable mortgage (ARM),OH,23
Credit reporting,,NY,19
Debt collection,Credit card,NY,23
Mortgage,Conventional fixed mortgage,IN,14
Debt collection,I do not know,CO,19
Credit card,,NJ,66
Debt collection,Federal student loan,NY,42
Debt collection,Credit card,CA,13
Debt collection,"Other (i.e. phone, health club, etc.)",IL,11
Credit reporting,,DE,27
Credit card,,CA,75
Mortgage,Conventional adjustable mortgage (ARM),CO,36
Debt collection,Mortgage,NY,43
Credit card,,SC,56
Credit reporting,,GA,34
Credit reporting,,MN,19
Credit reporting,,IA,28
Credit reporting,,OH,29
Credit reporting,,IL,10
Debt collection,"Other (i.e. phone, health club, etc.)",NY,19
Mortgage,Other mortgage,AL,34
Credit reporting,,NJ,18
Mortgage,Other mortgage,WI,34
