Cust_id,Age,Gender,Employment Category,Income,Avg. Yearly Balance_k,Avg Yearly ATM Withdrawals,Avg. Foreign Card Payments,Avg. Digital Payments,Fixed Deposits
10090,31-35,Male,Civil/Public Servant,Greater than 1 million,2041,21,28,35,0
10091,31-35,Male,Civil/Public Servant,"251,000 - 500,000",573,63,10,22,1
10092,31-35,Male,Self Employed,"501,000 - 1 Million",1101,52,19,35,1
10093,31-35,Male,Self Employed,"501,000 - 1 Million",981,48,23,52,1
10094,21-30,Male,Private Sector Employee,Greater than 1 million,3504,30,30,52,1
10095,21-30,Male,Student,"501,000 - 1 Million",1322,40,21,31,1
10096,18-20,Female,Student,Greater than 1 million,3385,29,35,61,1
10097,18-20,Female,Student,Greater than 1 million,3999,26,24,10,1
10098,18-20,Female,Student,"501,000 - 1 Million",1099,97,25,45,1
10099,18-20,Female,Student,Greater than 1 million,3347,11,29,62,0
10100,18-20,Female,Student,Greater than 1 million,3254,25,35,55,1
10101,18-20,Female,Student,Greater than 1 million,4029,68,22,62,1
10102,18-20,Female,Student,"501,000 - 1 Million",1038,49,20,49,1
10103,21-30,Female,Student,Greater than 1 million,4384,41,25,67,1
10104,21-30,Female,Student,"101,000 - 250,000",326,60,8,19,0
10105,21-30,Female,Student,"501,000 - 1 Million",1217,47,15,44,1
10106,21-30,Female,Student,Greater than 1 million,4906,23,29,65,1
10107,21-30,Female,Self Employed,Greater than 1 million,4877,75,21,57,1
10108,21-30,Female,Others,Greater than 1 million,4467,36,29,15,1
10109,18-20,Female,Student,"251,000 - 500,000",594,49,6,23,0
10110,21-30,Female,Student,Greater than 1 million,4485,14,32,63,1
10111,21-30,Female,Student,Greater than 1 million,4851,72,26,56,1
10112,18-20,Female,Student,"501,000 - 1 Million",858,54,18,38,1
10113,21-30,Male,Student,Greater than 1 million,3684,40,35,52,1
10114,21-30,Female,Student,Greater than 1 million,4029,29,24,65,1
10115,18-20,Male,Student,Greater than 1 million,2218,63,22,22,1
10116,18-20,Male,Student,Greater than 1 million,2948,92,25,60,1
10117,18-20,Male,Student,Greater than 1 million,2996,31,24,20,1
10118,21-30,Female,Self Employed,Greater than 1 million,3015,28,32,49,1
10119,18-20,Female,Student,Greater than 1 million,2126,44,31,43,1
10122,21-30,Female,Student,Greater than 1 million,3122,47,23,69,1
10123,21-30,Female,Student,Greater than 1 million,3834,20,25,32,1
10124,21-30,Female,Others,Greater than 1 million,4775,42,31,55,1
10125,21-30,Female,Others,Greater than 1 million,3620,36,26,48,1
10128,21-30,Female,Student,"501,000 - 1 Million",1693,48,17,41,1
10129,21-30,Male,Student,"501,000 - 1 Million",1144,53,16,43,0
10130,21-30,Male,Student,Greater than 1 million,2270,32,31,48,1
10131,21-30,Female,Student,Greater than 1 million,4778,44,22,56,1
10132,21-30,Female,Student,Greater than 1 million,3201,23,21,47,1
10133,21-30,Female,Student,"251,000 - 500,000",571,62,8,30,1
10134,21-30,Female,Student,Greater than 1 million,1773,37,27,29,1
10135,21-30,Male,Private Sector Employee,"501,000 - 1 Million",1448,52,23,33,1
10136,21-30,Male,Private Sector Employee,"501,000 - 1 Million",1111,46,20,9,1
10137,31-35,Male,Self Employed,Greater than 1 million,2853,32,26,47,1
10138,31-35,Male,Self Employed,Greater than 1 million,3053,44,35,48,1
10139,31-35,Male,Self Employed,"501,000 - 1 Million",1680,52,19,38,1
10140,31-35,Male,Civil/Public Servant,Greater than 1 million,4479,41,23,68,1
10141,31-35,Male,Civil/Public Servant,Greater than 1 million,4300,24,30,68,1
10142,18-20,Male,Student,Greater than 1 million,4154,31,27,60,0
10143,31-35,Female,Self Employed,Greater than 1 million,4335,39,32,23,1
10144,21-30,Male,Student,Greater than 1 million,3481,41,25,57,0
10145,21-30,Male,Student,"251,000 - 500,000",580,68,9,24,0
10146,21-30,Female,Student,Greater than 1 million,2326,21,21,49,1
10147,21-30,Female,Student,"501,000 - 1 Million",1587,5,21,41,1
10148,21-30,Male,Student,"251,000 - 500,000",518,59,10,21,1
10149,21-30,Female,Student,"501,000 - 1 Million",1250,84,21,44,1
10150,31-35,Female,Private Sector Employee,Greater than 1 million,4336,33,31,59,1
10151,21-30,Female,Unemployed,"251,000 - 500,000",840,70,10,27,0
10152,31-35,Female,Civil/Public Servant,"101,000 - 250,000",260,68,8,53,1
10153,31-35,Female,Civil/Public Servant,Greater than 1 million,4315,91,24,67,1
10154,31-35,Male,Self Employed,"251,000 - 500,000",771,35,13,20,1
10155,21-30,Male,Student,"501,000 - 1 Million",1059,55,15,40,1
10156,21-30,Male,Student,Greater than 1 million,3288,5,28,46,1
