OrderID,CustomerID,OrderVolume,ShipMode,Segment,Category,PaymentTerm,Discount,ExistingPurchaseOrder,FirstCustomerOrder,CashInDate
O-109,1011,10.68,Second Class,Consumer,Furniture,14,5,Yes,Yes,01-01-2011
O-110,1025,10.71,Second Class,Consumer,Furniture,14,5,Yes,Yes,02-01-2011
O-111,1029,10.63,Second Class,Consumer,Furniture,14,5,Yes,Yes,03-01-2011
O-112,1006,10.9,Second Class,Consumer,Furniture,14,5,Yes,Yes,04-01-2011
O-113,1015,10.86,Second Class,Consumer,Furniture,14,5,Yes,Yes,05-01-2011
O-114,1023,11.55,Second Class,Consumer,Furniture,14,5,Yes,Yes,06-01-2011
O-115,1024,11.99,Second Class,Consumer,Furniture,14,5,Yes,Yes,07-01-2011
O-116,1010,12.04,Second Class,Consumer,Furniture,14,5,Yes,Yes,08-01-2011
O-117,1030,12.23,Second Class,Consumer,Furniture,14,5,Yes,Yes,09-01-2011
O-118,1000,12.1,Second Class,Consumer,Furniture,14,5,Yes,Yes,10-01-2011
O-119,1010,11.78,Second Class,Consumer,Furniture,14,5,Yes,Yes,11-01-2011
O-120,1010,11.29,Second Class,Consumer,Furniture,14,5,Yes,Yes,12-01-2011
O-121,1022,10.87,Second Class,Consumer,Furniture,14,5,Yes,Yes,13-01-2011
O-122,1007,11.1,Second Class,Consumer,Furniture,14,5,Yes,Yes,14-01-2011
O-123,1015,10.86,Second Class,Consumer,Furniture,14,5,Yes,Yes,15-01-2011
O-124,1008,10.6,Second Class,Consumer,Furniture,14,5,Yes,Yes,16-01-2011
O-125,1005,10.33,Second Class,Consumer,Furniture,14,5,Yes,Yes,17-01-2011
O-126,1005,10.29,Second Class,Consumer,Furniture,14,5,Yes,Yes,18-01-2011
O-223,1031,10.71,Standard Class,Consumer,Technology,14,3,Yes,No,19-01-2011
O-213,1031,10.79,Standard Class,Consumer,Office Supplies,14,5,Yes,No,20-01-2011
O-245,1043,10.77,Standard Class,Consumer,Office Supplies,14,5,Yes,No,21-01-2011
O-270,1031,10.3,First Class,Consumer,Technology,14,5,Yes,No,22-01-2011
O-271,1065,10.26,First Class,Consumer,Technology,14,5,Yes,No,23-01-2011
O-272,1008,9.61,Standard Class,Consumer,Technology,14,5,Yes,No,24-01-2011
O-180,1020,9.66,Same Day,Consumer,Office Supplies,14,5,Yes,No,25-01-2011
O-159,1014,9.83,Same Day,Corporate,Technology,14,3,Yes,No,26-01-2011
